Num	blocknumber	date	balance	blocknumber	Type	Amount	Count	DAI Balance	Claim Balance	Claim Count
192	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.27641E+19	1	0.00	"6,884.38"	192
193	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.59092E+19	1	0.00	"6,920.28"	193
194	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.68646E+19	1	0.00	"6,957.15"	194
195	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.80828E+19	1	0.00	"6,995.23"	195
196	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.85042E+19	1	0.00	"7,033.74"	196
197	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.94694E+19	1	0.00	"7,073.21"	197
198	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.03567E+19	1	0.00	"7,113.56"	198
199	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.09308E+19	1	0.00	"7,154.49"	199
200	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.25494E+19	1	0.00	"7,197.04"	200
201	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.32549E+19	1	0.00	"7,240.30"	201
202	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.56818E+19	1	0.00	"7,285.98"	202
203	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.6973E+19	1	0.00	"7,332.95"	203
204	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.15799E+19	1	0.00	"7,384.53"	204
205	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.37174E+19	1	0.00	"7,438.25"	205
206	11504939	12/22/20 18:37	0	11504939	PayoutAdded	5.51249E+19	1	0.00	"7,493.37"	206
207	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.48477E+19	1	0.00	"7,558.22"	207
208	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.56532E+19	1	0.00	"7,623.88"	208
209	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.61672E+19	1	0.00	"7,690.04"	209
210	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.62943E+19	1	0.00	"7,756.34"	210
211	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.69505E+19	1	0.00	"7,823.29"	211
212	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.75349E+19	1	0.00	"7,890.82"	212
213	11504939	12/22/20 18:37	0	11504939	PayoutAdded	6.80043E+19	1	0.00	"7,958.83"	213
214	11504939	12/22/20 18:37	0	11504939	PayoutAdded	7.55234E+19	1	0.00	"8,034.35"	214
215	11504939	12/22/20 18:37	0	11504939	PayoutAdded	7.97774E+19	1	0.00	"8,114.13"	215
216	11504939	12/22/20 18:37	0	11504939	PayoutAdded	8.23547E+19	1	0.00	"8,196.48"	216
217	11504939	12/22/20 18:37	0	11504939	PayoutAdded	8.61288E+19	1	0.00	"8,282.61"	217
218	11504939	12/22/20 18:37	0	11504939	PayoutAdded	8.77195E+19	1	0.00	"8,370.33"	218
219	11504939	12/22/20 18:37	0	11504939	PayoutAdded	8.86563E+19	1	0.00	"8,458.99"	219
220	11504939	12/22/20 18:37	0	11504939	PayoutAdded	9.14812E+19	1	0.00	"8,550.47"	220
221	11504939	12/22/20 18:37	0	11504939	PayoutAdded	9.22327E+19	1	0.00	"8,642.70"	221
222	11504939	12/22/20 18:37	0	11504939	PayoutAdded	9.77489E+19	1	0.00	"8,740.45"	222
223	11504939	12/22/20 18:37	0	11504939	PayoutAdded	9.85855E+19	1	0.00	"8,839.04"	223
224	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.01868E+20	1	0.00	"8,940.90"	224
225	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.11949E+20	1	0.00	"9,052.85"	225
226	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.12869E+20	1	0.00	"9,165.72"	226
227	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.14839E+20	1	0.00	"9,280.56"	227
228	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.15246E+20	1	0.00	"9,395.81"	228
229	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.16583E+20	1	0.00	"9,512.39"	229
230	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.24424E+20	1	0.00	"9,636.81"	230
231	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.26237E+20	1	0.00	"9,763.05"	231
232	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.26586E+20	1	0.00	"9,889.64"	232
233	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.3079E+20	1	0.00	"10,020.43"	233
234	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.44352E+20	1	0.00	"10,164.78"	234
