blocknumber	compressedlog
11506233	PayoutClaimed	 746222158796120971
11506251	PayoutClaimed	 86128793165122203845
11506315	PayoutClaimed	 613764763586808953732
11506319	PayoutClaimed	 870962928625434983587
11506353	PayoutClaimed	 46972974427459099899
11506353	PayoutClaimed	 18404859965400500954
11506402	PayoutClaimed	 4224323656566360114084
11506423	PayoutClaimed	 116582600076841998770
11506423	PayoutClaimed	 0
11506505	PayoutClaimed	 369765261929799009976
11506527	PayoutClaimed	 411834798357398994994
11506538	PayoutClaimed	 4013684521456750189827
11506539	PayoutClaimed	 5306438573299489689816
11506572	PayoutClaimed	 215628180602617987915
11506575	PayoutClaimed	 144351647773183998424
11506620	PayoutClaimed	 14066013574523800855
11506629	PayoutClaimed	 7920500356867799851
11506685	PayoutClaimed	 97748859385708897207
11506690	PayoutClaimed	 15522777635428800735
11506696	PayoutClaimed	 175316212296933002789
11506770	PayoutClaimed	 227515696833454001080
11506791	PayoutClaimed	 798537642881338001643
11506818	PayoutClaimed	 453439745048483018763
11506959	PayoutClaimed	 4496521213290930063521
11507007	PayoutClaimed	 332809002237662980405
11507011	PayoutClaimed	 2974407922705309829325
11507018	PayoutClaimed	 2155404084675949889060
11507041	PayoutClaimed	 8675486937915449559
11507094	PayoutClaimed	 64847669670321096191
11507182	PayoutClaimed	 20497364755324600338
11507191	PayoutClaimed	 819335015486546012652
11507233	PayoutClaimed	 17807211846044999958
11507492	PayoutClaimed	 972390955942535015310
11507532	PayoutClaimed	 4430995948188249712984
11507538	PayoutClaimed	 1772701075203279970082
11507610	PayoutClaimed	 38224325148582698
11507702	PayoutClaimed	 506920805762533973393
11507754	PayoutClaimed	 16248818927813701407
11507884	PayoutClaimed	 1159636432412250087509
11507986	PayoutClaimed	 223764872563396011173
11508173	PayoutClaimed	 5997044616219580348115
11508248	PayoutClaimed	 819243956986341004267
11508269	PayoutClaimed	 687147473298027989585
11508446	PayoutClaimed	 939444465796279049
11508630	PayoutClaimed	 350402483788783403184
11508725	PayoutClaimed	 3273831739877340169186
11508730	PayoutClaimed	 0
11508843	PayoutClaimed	 32274022733233699966
11508843	PayoutClaimed	 0
11508843	PayoutClaimed	 3357638837800359876
11508959	PayoutClaimed	 606524316215230951
11508996	PayoutClaimed	 4146862241220749645
11509000	PayoutClaimed	 43254925706320200617
11509092	PayoutClaimed	 211341170752727009585
11509119	PayoutClaimed	 11988339498831800611
11509119	PayoutClaimed	 18635060186020400152
11509306	PayoutClaimed	 1342125161829719900197
11509360	PayoutClaimed	 4994945494248259819869
11509540	PayoutClaimed	 1334608646469170025739
11509621	PayoutClaimed	 1029242620160930073325
11509656	PayoutClaimed	 631249478689866009517
11509844	PayoutClaimed	 1108155622233299936851
11509912	PayoutClaimed	 957307432075593965237
11510131	PayoutClaimed	 149726045796096002504
11510188	PayoutClaimed	 11111393325278000702382
11510231	PayoutClaimed	 825141404013028022745
11510271	PayoutClaimed	 306728191576914014149
11510276	PayoutClaimed	 4935974508537559813703
11510302	PayoutClaimed	 761921457031865998033
11510362	PayoutClaimed	 286541613962085989442
11510812	PayoutClaimed	 25177030045421201
11510812	PayoutClaimed	 5956485319961499953933
11511240	PayoutClaimed	 3323625500240621249758
11511389	PayoutClaimed	 320429116231426974081
11511402	PayoutClaimed	 124424110600586004693
11511591	PayoutClaimed	 1672880437081819991362
11511904	PayoutClaimed	 859761282303550956385
11511934	PayoutClaimed	 18759422142116999765
11512211	PayoutClaimed	 362269056734842990863
11512357	PayoutClaimed	 13465530893134900480
11512871	PayoutClaimed	 15157767148911100107
11513736	PayoutClaimed	 92142632642280800
11514111	PayoutClaimed	 1564277861899890012864
11514175	PayoutClaimed	 1939183780457389957518
11514315	PayoutClaimed	 748857429672451985425
11514379	PayoutClaimed	 983905322704703053204
11514421	PayoutClaimed	 907443337545116946785
11514452	PayoutClaimed	 457173476817849973485
11514526	PayoutClaimed	 880478619788401033474
11515412	PayoutClaimed	 841917154438471015964
11516477	PayoutClaimed	 26314553753694301718
11516954	PayoutClaimed	 250841392979373011939
11517007	PayoutClaimed	 12198650734587600297
11517023	PayoutClaimed	 8481310809889679447
11517052	PayoutClaimed	 1729263786396810109
11517084	PayoutClaimed	 115246499434098993219
11517147	PayoutClaimed	 5355675866894360297010
11517230	PayoutClaimed	 268474085968535007395
11517247	PayoutClaimed	 3622904524400520021
11517335	PayoutClaimed	 11930815144510699354
11517502	PayoutClaimed	 65653172888143799923
11517531	PayoutClaimed	 2694467549983260212
11517986	PayoutClaimed	 31029876616872201111
11519363	PayoutClaimed	 14627193044372699404
11520939	PayoutClaimed	 803218622865785050635
11520948	PayoutClaimed	 2729516289064660213625
11522360	PayoutClaimed	 7715435676707689708564
11523632	PayoutClaimed	 2751842539874320209491
11523862	PayoutClaimed	 66294313918287997466
11524329	PayoutClaimed	 4330636480018880320130
11524695	PayoutClaimed	 245098163620529987838
11524858	PayoutClaimed	 2602197591725730035250
11526405	PayoutClaimed	 64039800865089605
11527102	PayoutClaimed	 0
11527505	PayoutClaimed	 12958674851240500558
11529510	PayoutClaimed	 6349801079938179881
11532396	PayoutClaimed	 383844925681204984
11533338	PayoutClaimed	 408800987197855988597
11534484	PayoutClaimed	 45681793531650797035
11535576	PayoutClaimed	 38082839258985998753
11535853	PayoutClaimed	 4437342254166240309132
11536441	PayoutClaimed	 4175553461983709894411
11537493	PayoutClaimed	 98585506221114997060
11538269	PayoutClaimed	 10770790950487700683879
11539230	PayoutClaimed	 159849577518138005416
11539651	PayoutClaimed	 2719610446060049980587
11539770	PayoutClaimed	 35788420011290698
11543747	PayoutClaimed	 42549371903933597138
11543828	PayoutClaimed	 1782098906687880068
11545410	PayoutClaimed	 725747290081456981170
11546580	PayoutClaimed	 169648868417375012995
11549059	PayoutClaimed	 179485019772078004507
11550010	PayoutClaimed	 1431477327587839909028
11550492	PayoutClaimed	 5119191924142739935
11588675	PayoutClaimed	 5488907623584410430339
11589111	PayoutClaimed	 3476885988206689944490
11589214	PayoutClaimed	 826565117442374003076
11589325	PayoutClaimed	 8651438870026440781657
11590150	PayoutClaimed	 5353792646901560146943
11590270	PayoutClaimed	 66167155503877097544
11590537	PayoutClaimed	 6634293675284309756534
11592544	PayoutClaimed	 174904778857884996
11593855	PayoutClaimed	 777928039182781958515
11594048	PayoutClaimed	 764085937689799038707
11596117	PayoutClaimed	 241265558765854990497
11596645	PayoutClaimed	 3087611343505150216515
11600046	PayoutClaimed	 311501449601562001134
11601615	PayoutClaimed	 676787137355118034065
11601673	PayoutClaimed	 5302517894800310933489
11602421	PayoutClaimed	 4162219139866069781419
11604079	PayoutClaimed	 10393420224001300084637
11607724	PayoutClaimed	 9735659336078570049721
11616516	PayoutClaimed	 221071202077862011492
11620207	PayoutClaimed	 22259667060977468500
11620687	PayoutClaimed	 187050519713131996
11636037	PayoutClaimed	 0
11645691	PayoutClaimed	 179483943280751987003
11653274	PayoutClaimed	 10816695003987099710
11688450	PayoutClaimed	 15678997476353000820381
11738525	PayoutClaimed	 643115250259116010056
12088792	FundingWithdrawn	 79408036318239722241683
12088792	
